Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A818222,"28921 PLATINUM LN78645
(30.518583, -98.098569)",Yes (come to the shelter),06/04/2020,Dog,Labrador Retriever,Black,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818222
A818105,"10003 RUTLAND VILL
EA AUSTIN 78758
(30.378094, -97.710061)",Yes (come to the shelter),06/02/2020,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818105
A818385,"1104 REAGAN TERRACE
AUSTIN 78704
(30.244387, -97.739923)",Yes (come to the shelter),06/08/2020,Cat,Domestic Shorthair,Blue Smoke,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818385
A818104,"10003 RUTLAND VILL
EA AUSTIN 78758
(30.378094, -97.710061)",Yes (come to the shelter),06/02/2020,Cat,Domestic Shorthair,Calico/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818104
A818223,"28921 PLATINUM LN78645
(30.518583, -98.098569)",Yes (come to the shelter),06/04/2020,Dog,American Pit Bull Terrier,Black,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818223
A818278,"8817 MERION CIRCLE
AUSTIN 78754
(30.330763, -97.646802)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Orange Tabby,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818278
A818384,"4000 IGNACIO DR
AUSTIN 78744",Yes (come to the shelter),06/08/2020,Cat,Domestic Longhair,Tortie,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818384
A818279,"8817 MERION CIRCLE
AUSTIN 78754
(30.330763, -97.646802)",Yes (come to the shelter),06/04/2020,Cat,Siamese,Tortie Point/Brown,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818279
A818242,"280 DRY CREEK ROAD MANOR78653
(30.259653, -97.463333)",No (contact for more info),06/04/2020,Cat,Domestic Shorthair,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818242
A818126,"13700 PANSY TRAIL
AUSTIN 78727
(30.432174, -97.687677)",No (contact for more info),06/02/2020,Dog,Great Pyrenees,White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818126
A818231,"4516 PACK SADDLE PASS
AUSTIN 78745
(30.228271, -97.794111)",No (contact for more info),06/04/2020,Dog,Pit Bull,Chocolate,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818231
A818243,"280 DRY CREEK ROAD MANOR78653
(30.259653, -97.463333)",No (contact for more info),06/04/2020,Cat,Domestic Shorthair,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818243
A818127,"8002 BONITA VISTA STREET
AUSTIN 78747",No (contact for more info),06/02/2020,Dog,Pug,Fawn,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818127
A818339,"2200 SOUTH PLEASANT VALLEY
AUSTIN 78741
(30.231275, -97.725446)",Yes (come to the shelter),06/05/2020,Cat,Domestic Shorthair,Brown Tabby/White,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818339
