Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A800046,"1116 FAIRCREST DRIVE
AUSTIN 78753
(30.406404, -97.648071)",Yes (come to the shelter),05/28/2020,Dog,Chihuahua Shorthair,Tan/White,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A800046
A818084,"1622 HASKELL
AUSTIN 78702
(30.253384, -97.728969)",No (contact for more info),06/01/2020,Dog,Flat Coat Retriever Mix,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818084
A818079,"4630 KILLINGSWORTH LANE78660
(30.406004, -97.604219)",Yes (come to the shelter),06/01/2020,Dog,Labrador Retriever/Australian Shepherd,Brown/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818079
A818024,"AUSTIN 78745
(30.206782, -97.798214)",Yes (come to the shelter),05/31/2020,Dog,Chihuahua Shorthair,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818024
A818022,"8922 MENCHACA RD
AUSTIN 78748
(30.182544, -97.818455)",Yes (come to the shelter),05/31/2020,Cat,Domestic Shorthair,Black/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818022
A817980,"500 HARWAY CT
AUSTIN 78745
(30.21216, -97.763477)",Yes (come to the shelter),05/29/2020,Cat,Russian Blue,Blue,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817980
A817921,"LEVANDER LOOP AUSTIN 78702
(30.264271, -97.71608)",Yes (come to the shelter),05/29/2020,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817921
A817876,"1410 EAST ANDERSON LANE
AUSTIN 78752
(30.333876, -97.68842)",Yes (come to the shelter),05/28/2020,Cat,Domestic Shorthair,Brown Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817876
A817881,"3205 CENTRUM DRIVE
AUSTIN 78754
(30.361441, -97.641637)",No (contact for more info),05/28/2020,Dog,German Shepherd Mix,Brown/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817881
A817877,"7300 BENNETT AVENUE
AUSTIN 78752
(30.332466, -97.699549)",No (contact for more info),05/28/2020,Dog,Labrador Retriever Mix,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817877
A817882,"8601 NORTH CAPITAL OF TEXAS HIGHWAY
AUSTIN 78759
(30.387061, -97.763676)",No (contact for more info),05/28/2020,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817882
A817878,"13900 HEYWOOD DRIVE
PFLUGERVILLE 78660",No (contact for more info),05/28/2020,Dog,Pekingese Mix,Red,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817878
A817883,"11915 TOBLER TRAIL
AUSTIN 78753
(30.380422, -97.659987)",No (contact for more info),05/28/2020,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817883
A818040,"1501 CLOVERLEAF
AUSTIN 78723
(30.310385, -97.698241)",Yes (come to the shelter),05/31/2020,Cat,Domestic Shorthair,Torbie/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818040
A817929,"2201 RIVERSIDE FARMS ROAD
AUSTIN 78741
(30.228156, -97.715805)",Yes (come to the shelter),05/29/2020,Dog,Clumber Spaniel,White/Brown,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817929
A818038,"5305 BOLM RD
AUSTIN 78721
(30.258654, -97.69122)",Yes (come to the shelter),05/31/2020,Dog,Plott Hound Mix,Brown Brindle/White,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818038
A818039,"5305 BOLM RD
AUSTIN 78721
(30.258654, -97.69122)",Yes (come to the shelter),05/31/2020,Dog,Plott Hound Mix,Red/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818039
A818044,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),06/01/2020,Dog,Pit Bull,Fawn/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818044
A817879,"7011 MOUNT CARRELL DRIVE
AUSTIN 78745
(30.19631, -97.796923)",No (contact for more info),05/28/2020,Dog,Border Collie Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817879
A817937,"12314 SELKIRK DR
AUSTIN 78653",Yes (come to the shelter),05/29/2020,Cat,Domestic Shorthair,White/Gray,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817937
A817880,"7800 SOUTH 1ST STREET
AUSTIN 78745
(30.185034, -97.791783)",No (contact for more info),05/28/2020,Dog,Pit Bull Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817880
A806599,"9106 CAPITOL DRIVE
AUSTIN 78753
(30.357218, -97.690816)",Yes (come to the shelter),05/27/2020,Dog,German Shepherd,Black/Tan,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A806599
A817849,"WEDDING DRIVE 78653
(30.345865, -97.531473)",No (contact for more info),05/27/2020,Dog,Pug,Fawn,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817849
